node_id,node_name,node_type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,feat_name,score,mean,std,dist
0,adservice-0,pod,0.0178231,0.0,0.3582747,0.44485474,0.0,0.0,0.0,0.0,0.046420295,0.53044724,0.0,0.0,0.2592697,0.7768371,feat,0.0,0.38779830125000003,0.14678748279114062,0.28214246
0,adservice-0,pod,0.043376632,0.0014638698,0.49017915,0.57698953,2.4519812e-08,1.7648413e-09,1.7720364e-08,3.2716092e-09,0.081826,0.27530092,3.0944204e-08,3.6278852e-08,0.41512898,0.71210337,feat_mean,0.0,0.38779830125000003,0.14678748279114062,0.28214246
0,adservice-0,pod,0.02609538,1.6352253e-05,0.3617625,0.4321203,2.5042445e-08,6.517559e-11,6.908993e-09,7.889421e-11,0.050594386,0.54410034,1.1401675e-08,4.019986e-08,0.25784475,0.79784274,feat_pred,0.0,0.38779830125000003,0.14678748279114062,0.28214246
1,adservice-1,pod,0.016233299,0.0,0.28654623,0.40855122,0.0,0.0,0.0,0.0,0.046263687,0.5165611,0.0,0.0,0.8741994,0.76689696,feat,0.0,0.6700404118819444,0.09666091598535252,0.64658195
1,adservice-1,pod,0.023275826,0.0015770261,0.120704904,0.13323706,3.1356976e-07,2.895224e-09,3.992272e-08,4.026703e-09,0.08177152,0.46573102,1.6647907e-07,4.9248825e-07,0.33349112,0.70640016,feat_mean,0.0,0.6700404118819444,0.09666091598535252,0.64658195
1,adservice-1,pod,0.023976343,1.4894488e-05,0.28708997,0.39711046,2.1622272e-07,1.1065557e-09,4.059235e-08,9.326384e-10,0.046505645,0.528836,7.881191e-08,2.6846115e-07,0.8925462,0.77143663,feat_pred,0.0,0.6700404118819444,0.09666091598535252,0.64658195
2,adservice-2,pod,0.05228927,0.0,0.4507587,0.5460777,0.0,0.0,0.0,0.0,0.08279836,0.67517644,0.0,0.0,0.87887144,0.77264285,feat,0.41071550393851186,0.7060357979097223,0.09464153751902397,0.74490654
2,adservice-2,pod,0.02824186,0.0016509774,0.15678991,0.17461517,3.8717727e-07,5.37925e-09,5.4904348e-08,8.067621e-09,0.09344688,0.53292406,2.1011483e-07,6.3688145e-07,0.34688675,0.7096812,feat_mean,0.41071550393851186,0.7060357979097223,0.09464153751902397,0.74490654
2,adservice-2,pod,0.058089975,9.749562e-05,0.4554911,0.5465852,1.420278e-07,1.2148619e-09,4.251162e-08,1.3627312e-09,0.070630156,0.6902886,6.7118755e-08,1.8118158e-07,0.8910475,0.7840871,feat_pred,0.41071550393851186,0.7060357979097223,0.09464153751902397,0.74490654
3,adservice2-0,pod,0.04728685,0.0,0.8832741,0.9199523,0.0,0.0,0.0,0.0,0.014998879,0.7569946,0.0,0.0,0.91631377,0.14878519,feat,0.0,0.15800005470978276,0.11468597530133019,0.13116449
3,adservice2-0,pod,0.05461338,0.0012833313,0.9515158,0.94988453,1.8586452e-07,8.015716e-08,1.569348e-07,5.2183672e-08,0.06772024,0.6479136,1.3393932e-07,2.0488756e-07,0.9472545,0.47180745,feat_mean,0.0,0.15800005470978276,0.11468597530133019,0.13116449
3,adservice2-0,pod,0.030474795,0.00011245259,0.8769394,0.9189624,2.8932405e-08,3.359295e-10,1.1704184e-08,2.792842e-10,0.01614145,0.77907807,5.957265e-09,3.026093e-08,0.9317372,0.15776245,feat_pred,0.0,0.15800005470978276,0.11468597530133019,0.13116449
4,cartservice-0,pod,0.10077711,0.0,0.91740894,0.920176,0.0,0.0,0.0,0.0,0.08662616,0.60244226,0.0,0.0,0.121136904,0.784829,feat,0.09007087314859782,0.25363416629734975,0.1798209152280336,0.2698308
4,cartservice-0,pod,0.076305166,0.0012758399,0.75118303,0.724778,9.89103e-09,8.5681484e-10,7.725449e-09,1.7103254e-09,0.104734935,0.53342986,1.3965522e-08,1.52695e-08,0.14026946,0.73124963,feat_mean,0.09007087314859782,0.25363416629734975,0.1798209152280336,0.2698308
4,cartservice-0,pod,0.10954232,0.00034848903,0.9260932,0.9026457,2.703845e-10,9.0719164e-13,2.6728691e-10,2.719856e-12,0.08476944,0.6192173,2.448318e-10,5.271202e-10,0.13221948,0.7772275,feat_pred,0.09007087314859782,0.25363416629734975,0.1798209152280336,0.2698308
5,cartservice-1,pod,0.08325861,0.0,0.92717344,0.9111756,0.0,0.0,0.0,0.0,0.087202385,0.62022513,0.0,0.0,0.75225985,0.7998286,feat,0.0,0.24162520372074808,0.18009567967279536,0.1356015
5,cartservice-1,pod,0.07303453,0.0014954612,0.88010144,0.84958017,1.7310356e-08,4.56166e-10,1.2238825e-08,1.2025239e-09,0.106184915,0.5309437,1.4177289e-08,2.4307234e-08,0.7556536,0.74659896,feat_mean,0.0,0.24162520372074808,0.18009567967279536,0.1356015
5,cartservice-1,pod,0.09371583,0.00039955883,0.9270987,0.8925614,8.325669e-09,6.698923e-11,6.262313e-09,1.4863485e-10,0.08395021,0.6344238,5.792223e-09,1.2034946e-08,0.7494141,0.8031303,feat_pred,0.0,0.24162520372074808,0.18009567967279536,0.1356015
6,cartservice-2,pod,0.04718922,0.0,0.7529356,0.7415894,0.0,0.0,0.0,0.0,0.06723726,0.70435363,0.0,0.0,0.79670095,0.7815288,feat,0.0,0.22672972965385246,0.12122355315234677,0.15205228
6,cartservice-2,pod,0.0727545,0.0006714743,0.8598767,0.8467343,1.7857396e-08,2.1953953e-10,1.0500033e-08,4.8459436e-10,0.09046531,0.5893279,1.13356124e-08,2.4693664e-08,0.8029556,0.7278135,feat_mean,0.0,0.22672972965385246,0.12122355315234677,0.15205228
6,cartservice-2,pod,0.059238743,0.00016041538,0.74086183,0.711434,4.4147203e-08,3.1829683e-10,2.1802409e-08,5.2862636e-10,0.06521406,0.7250435,2.3090518e-08,6.063188e-08,0.7978757,0.79637855,feat_pred,0.0,0.22672972965385246,0.12122355315234677,0.15205228
7,cartservice2-0,pod,0.039019443,0.0,0.9634849,0.95600003,0.0,0.0,0.0,0.0,0.4543471,0.63867813,0.0,0.0,0.7861765,0.32355648,feat,1.7536938905271948,0.1005434403972692,0.14780688006001386,0.35975146
7,cartservice2-0,pod,0.09655125,0.041482907,0.9406961,0.87956643,2.3166368e-08,1.1069784e-09,1.8991543e-08,2.9035025e-09,0.08363521,0.5941587,2.0502602e-08,2.9903457e-08,0.78578407,0.5137717,feat_mean,1.7536938905271948,0.1005434403972692,0.14780688006001386,0.35975146
7,cartservice2-0,pod,0.050757054,0.0005218729,0.94719476,0.95341384,2.3334335e-08,2.7760383e-10,9.497012e-09,3.4545983e-10,0.42996144,0.6564806,8.8577785e-09,3.1794762e-08,0.7957625,0.3400406,feat_pred,1.7536938905271948,0.1005434403972692,0.14780688006001386,0.35975146
8,checkoutservice-0,pod,0.6615202,0.13957724,0.9989736,0.8749778,0.0,0.0,0.0,0.0,0.056173213,0.4823178,0.0,0.0,1.0,0.64791834,feat,0.48711267929719904,0.9007626179666435,0.4599656723222596,1.1248177
8,checkoutservice-0,pod,0.27019632,0.078779235,0.3879073,0.31074858,4.787085e-07,2.340294e-08,2.0409287e-07,4.164983e-08,0.07609345,0.55712813,4.300083e-07,7.212192e-07,0.39757225,0.60439724,feat_mean,0.48711267929719904,0.9007626179666435,0.4599656723222596,1.1248177
8,checkoutservice-0,pod,0.72826314,0.07018809,1.0341866,0.8020766,1.4933603e-08,1.0816236e-09,2.4655138e-08,2.743002e-09,0.04740043,0.49782073,2.9489318e-08,1.8821684e-08,1.0257359,0.6458717,feat_pred,0.48711267929719904,0.9007626179666435,0.4599656723222596,1.1248177
9,checkoutservice-1,pod,0.51281637,0.03973817,0.99949884,0.5948372,0.0,0.0,0.0,0.0,0.062898636,0.7527253,0.0,0.0,1.0,0.6819308,feat,0.5010668783120524,0.7941512703750001,0.3247520664340612,0.9568738
9,checkoutservice-1,pod,0.20431642,0.026574526,0.41781363,0.26977304,4.0017594e-07,9.39365e-09,1.3621597e-07,1.9128233e-08,0.0819583,0.58622205,2.9012108e-07,6.409618e-07,0.41521138,0.6477805,feat_mean,0.5010668783120524,0.7941512703750001,0.3247520664340612,0.9568738
9,checkoutservice-1,pod,0.5300296,0.04134054,0.9874988,0.5896822,2.1837211e-07,1.5055381e-08,2.4643512e-07,3.0482973e-08,0.066859566,0.7610391,3.2487984e-07,2.8056195e-07,1.0066196,0.69352555,feat_pred,0.5010668783120524,0.7941512703750001,0.3247520664340612,0.9568738
10,checkoutservice-2,pod,0.7730332,0.119872004,0.99952316,0.5362513,0.0,0.0,0.0,0.0,0.059278563,0.7392069,0.0,0.0,0.82565594,0.67515266,feat,0.0,1.0160458243671766,0.07832106828803798,0.9522841
10,checkoutservice-2,pod,0.2950934,0.060499866,0.42038977,0.22831388,3.610247e-07,1.9913882e-08,2.3134042e-07,4.291655e-08,0.08264806,0.5322252,4.234606e-07,5.3939016e-07,0.39228165,0.6277276,feat_mean,0.0,1.0160458243671766,0.07832106828803798,0.9522841
10,checkoutservice-2,pod,0.8166971,0.12372961,0.98950243,0.48028257,1.8460675e-07,1.8770383e-08,2.5945985e-07,3.9892882e-08,0.054110494,0.7495889,3.9615492e-07,2.489121e-07,0.8322147,0.67882615,feat_pred,0.0,1.0160458243671766,0.07832106828803798,0.9522841
11,checkoutservice2-0,pod,0.0015197073,0.0,0.53044426,0.31927896,0.0,0.0,0.0,0.0,0.015436102,0.6268592,0.0,0.0,0.753548,0.2863403,feat,0.0,0.391468904856342,0.3207065632422772,0.20538177
11,checkoutservice2-0,pod,0.0491005,0.010371936,0.42812788,0.3847089,1.9507488e-07,5.1300026e-09,7.3021035e-08,9.307439e-09,0.070865706,0.45053986,1.4338111e-07,2.6847044e-07,0.7821356,0.6516317,feat_mean,0.0,0.391468904856342,0.3207065632422772,0.20538177
11,checkoutservice2-0,pod,0.026027063,9.241082e-05,0.52559125,0.31617337,4.6166411e-07,5.7406946e-09,1.2082492e-07,3.83202e-09,0.022094183,0.63132304,1.5092822e-07,5.517818e-07,0.74474245,0.2710377,feat_pred,0.0,0.391468904856342,0.3207065632422772,0.20538177
12,currencyservice-0,pod,0.068710275,0.0,0.30144548,0.27061033,0.0,0.0,0.0,0.0,0.15619111,0.540383,0.0,0.0,0.50580764,0.79486847,feat,0.0,0.5004815348194445,0.2792536260047138,0.25842944
12,currencyservice-0,pod,0.08421591,0.0026091211,0.25991952,0.17072783,1.6851284e-07,4.9404814e-09,6.3233536e-08,6.837289e-09,0.15815797,0.47688577,1.8872083e-07,2.766375e-07,0.29670098,0.7440417,feat_mean,0.0,0.5004815348194445,0.2792536260047138,0.25842944
12,currencyservice-0,pod,0.08226526,0.00012197453,0.28902003,0.26443967,1.0491269e-07,9.940939e-10,2.4486424e-08,8.998483e-10,0.15067773,0.55308044,7.940777e-08,1.5914189e-07,0.51437557,0.80704296,feat_pred,0.0,0.5004815348194445,0.2792536260047138,0.25842944
13,currencyservice-1,pod,0.066776596,0.0,0.30565834,0.41073525,0.0,0.0,0.0,0.0,0.15822312,0.41237742,0.0,0.0,0.740311,0.8126602,feat,0.0,0.3096512607195247,0.21572756042400223,0.23648947
13,currencyservice-1,pod,0.06237181,0.0006385425,0.2361877,0.30080125,4.389309e-08,8.2406654e-10,1.1132238e-08,1.2291163e-09,0.15353858,0.38399625,3.6011457e-08,6.443459e-08,0.5599274,0.761199,feat_mean,0.0,0.3096512607195247,0.21572756042400223,0.23648947
13,currencyservice-1,pod,0.074508116,9.249571e-05,0.30725545,0.39653942,5.4567057e-08,4.9323795e-10,1.3767769e-08,4.8243376e-10,0.14084576,0.437844,3.7543575e-08,7.576362e-08,0.74791896,0.81884575,feat_pred,0.0,0.3096512607195247,0.21572756042400223,0.23648947
14,currencyservice-2,pod,0.07117546,0.0,0.28547788,0.20092368,0.0,0.0,0.0,0.0,0.15010586,0.5345987,0.0,0.0,0.55481243,0.80225027,feat,0.0,0.4304720713611111,0.19857427324774643,0.25566822
14,currencyservice-2,pod,0.08141125,0.001963286,0.25453252,0.16650206,2.1307184e-07,1.0747427e-08,7.832452e-08,1.3622273e-08,0.15255785,0.5210622,2.433946e-07,3.3817707e-07,0.3139396,0.7552509,feat_mean,0.0,0.4304720713611111,0.19857427324774643,0.25566822
