0,1,2,3,4,5,6,7,8,9,10,11,12
0.8171166,0.13670675,0.7108359,0.53494996,0.4333778,0.55977476,0.47111025,0.32854638,0.21315181,0.22536828,0.28229898,0.42159,0.2715206
0.6714253,0.056469534,0.9375,0.9990676,0.11924792,0.00023040119,0.00023044187,0.00026582574,0.00013241525,0.0003339384,0.0018255453,0.011698999,0.032525126
0.5904038,0.17625064,0.0,0.0020766405,0.002582029,0.0031031074,0.0056235394,0.0069985036,0.013113694,0.029343247,0.059458256,0.12798388,0.20739318
0.82725906,0.42165706,0.0,0.0,0.0,0.0002515646,0.0002515646,0.0004934636,0.0059865178,0.02623171,0.08948082,0.36676684,0.50829923
0.0,0.17468864,0.17468864,0.17468864,0.17468864,0.17468864,0.17468864,0.17468864,0.17468864,0.17468864,0.17468864,0.17468864,0.17468864
0.81871176,0.17121473,0.0,0.0,0.0,0.00013241525,0.0,0.0,0.0002533727,0.0006637522,0.009613342,0.0010327902,0.35505328
0.70614636,0.0554457,0.0,0.0,0.0,0.0008352861,0.0002515646,0.0002527647,0.00025354838,0.0005787416,0.0025661706,0.0017882616,0.08153776
0.0,0.24693866,0.24693866,0.24693866,0.24693866,0.24693866,0.24693866,0.24693866,0.24693866,0.24693866,0.24693866,0.24693866,0.24693866
0.59050584,0.1525801,0.28653297,0.12204278,0.09460948,0.08607295,0.07688147,0.073769145,0.07382046,0.07811249,0.10491248,0.16710973,0.23809613
0.5906384,0.081567235,0.15749785,0.14556485,0.13408433,0.12291706,0.10236559,0.10980415,0.10509273,0.07896383,0.05159575,0.035473004,0.04670344
0.59063333,0.24135385,0.5059131,0.4574261,0.41545308,0.44479248,0.42693394,0.40659493,0.38895023,0.30442837,0.19848107,0.15070093,0.1700658
0.6879301,0.03557821,0.032960597,0.040658988,0.04884652,0.044387437,0.03078394,0.03226255,0.033460233,0.029183947,0.031590756,0.03461009,0.07348739
0.59050107,0.15503387,0.14059354,0.085918784,0.08177112,0.06674452,0.06424421,0.07237355,0.05344256,0.08337647,0.1360099,0.23574717,0.33109587
0.59058887,0.04430507,0.32057482,0.06837631,0.070555456,0.031011326,0.020949071,0.019072253,0.021670895,0.02458382,0.03189229,0.05027392,0.0938148
0.65732896,0.04700967,0.31310603,0.26617226,0.26110032,0.28519982,0.29677993,0.31182617,0.2991866,0.24713778,0.110290706,0.052880965,0.06506469
0.59062815,0.033994894,0.24388023,0.082612164,0.06811394,0.05893498,0.060828485,0.062375832,0.05459834,0.05553439,0.04123613,0.049010962,0.063329816
0.5905213,0.09050297,0.09696338,0.059148945,0.058311403,0.05363828,0.057139203,0.060900558,0.070315346,0.08160202,0.10287162,0.09151894,0.16104801
0.79708624,0.46234533,0.51056975,0.49101308,0.54902714,0.5571494,0.5494913,0.5506262,0.53644884,0.5173374,0.5165461,0.49321532,0.3844944
