0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.32365674,0.23572922,0.22742462,0.21956062,0.22725582,0.23537683,0.23257828,0.25726557,0.24728298,0.24372053,0.23962116,0.22954941,0.2302041,0.23082304
0.32365674,0.41142797,0.4007721,0.38870764,0.40479374,0.39042854,0.38333988,0.40260172,0.42566872,0.4448614,0.46413898,0.46597672,0.46807337,0.4665947
0.32365674,0.23654175,0.26518822,0.24271679,0.23841953,0.21948099,0.21834421,0.22436428,0.2291131,0.23504877,0.23383856,0.16195083,0.16487145,0.16585922
0.32365674,0.23110247,0.1957655,0.20867825,0.2255683,0.21180296,0.22233725,0.23510122,0.24267244,0.24933672,0.24349618,0.24193168,0.24410939,0.2421701
0.32365674,0.32313156,0.33658314,0.32165623,0.33770752,0.33368397,0.3483944,0.3438053,0.32484722,0.31120682,0.2895193,0.27665854,0.267879,0.26533604
0.32365674,0.42839622,0.43647575,0.43246984,0.44059992,0.42243862,0.40973425,0.41722202,0.4435234,0.46199846,0.47777748,0.47835112,0.47934723,0.4787941
0.34836853,0.27368665,0.26360416,0.25065804,0.26900196,0.3773055,0.45144892,0.5407486,0.4919691,0.35209322,0.32876492,0.33501983,0.3314278,0.3250847
0.32365674,0.22672176,0.24450493,0.21911001,0.19384909,0.20222807,0.20407581,0.2117734,0.22163343,0.23434877,0.23072743,0.2249918,0.2216146,0.22078204
0.32365674,0.25502348,0.3209448,0.3403139,0.34460926,0.3517208,0.35954952,0.3656206,0.36826038,0.28379583,0.21164751,0.16914749,0.20985556,0.20624542
0.36907023,0.49259853,0.3439405,0.40102267,0.43655467,0.46123862,0.4826553,0.5018425,0.5227115,0.5593605,0.6036625,0.614131,0.62129426,0.62270856
0.43067655,0.30923176,0.46236324,0.48232698,0.4424982,0.42970514,0.38488817,0.3352456,0.3052454,0.2737949,0.24928808,0.23881125,0.23018432,0.22811961
0.43067655,0.7550492,0.80108595,0.8063109,0.78295374,0.7787018,0.77189255,0.77032804,0.82176137,0.8106463,0.79313445,0.7831199,0.77514696,0.7737155
0.45903432,0.2539463,0.3128662,0.28331137,0.27108788,0.3339417,0.37432837,0.39230037,0.32448578,0.33654928,0.21862006,0.19901514,0.19164205,0.19183862
0.45903432,0.18282676,0.3622465,0.29912758,0.26335812,0.24988437,0.24784589,0.232656,0.19621515,0.2389648,0.16931236,0.15757442,0.14914453,0.14807856
0.43067655,0.13778055,0.14185119,0.14562392,0.13042212,0.1565578,0.17309546,0.13843346,0.1357714,0.13497615,0.13578999,0.13804805,0.1323893,0.13195956
0.43067655,0.72614765,0.8630495,0.75130224,0.76464367,0.7596626,0.6440673,0.7273159,0.7955141,0.8726952,0.86095655,0.85456645,0.8480811,0.84696007
